Hometown_size,Gender,Marital_status,Household_size,Age,Education,Household_income,Dwelling_type,Car_choice_now,Planning_to_buy_in_12months,Conserve,Fuelefficient,supercycle1 ,runaboutsport2seat ,economyhybrid4seat ,Novelist,Innovator,Trendsetter,Mainstreamer,Favorite_TV_type,Favorite_music_genre,Favorite_news_type,Favorite_news_section,Socialmedia_dailyspent,online_games_spent
100K to 500K,Male,Married (Includes Cohabitation),4,40 to 49,Some college or Associate's degree,$50K to $75K,Single family,None,No,5,6,2,7,2,3,7,4,5,Movies/Miniseries,Talk,Sports & outdoors,Sports,About 2 hours,About 2 hours
1 million and more,Female,Married (Includes Cohabitation),2,30 to 39,High school graduate,$50K to $75K,Multiple family,Luxury,No,1,1,4,7,3,5,7,4,5,Movies/Miniseries,Pop & Chart,Music & entertainment,Local news,About 3 hours or more,About 2 hours
500K to 1 million,Male,Married (Includes Cohabitation),4,40 to 49,Bachelor's degree,$76K to $100K,Single family,Economy,Yes,1,1,4,4,4,4,4,7,3,Science Fiction,Pop & Chart,Music & entertainment,Local news,About 2 hours,About 1 hour
100K to 500K,Male,Married (Includes Cohabitation),2,40 to 49,Bachelor's degree,$76K to $100K,Multiple family,Luxury,No,7,6,2,4,2,5,4,7,3,Movies/Miniseries,Pop & Chart,Home & garden,Entertainment,About 2 hours,About 2 hours
500K to 1 million,Male,Married (Includes Cohabitation),2,40 to 49,Some college or Associate's degree,$76K to $100K,Single family,Economy,Yes,7,7,4,6,4,6,6,7,2,Movies/Miniseries,Talk,"News, politics & current events",Sports,About 2 hours,About 2 hours
Under 10K,Male,Married (Includes Cohabitation),2,50 to 59,High school graduate,Over $150K,Multiple family,Luxury,Yes,2,1,7,7,7,1,1,2,6,Comedy,Talk,Sports & outdoors,Business,Less than 1 hour,Less than 1 hour
Under 10K,Male,Married (Includes Cohabitation),2,50 to 59,High school graduate,$50K to $75K,Condominium/Townhouse,None,No,1,1,3,7,7,5,2,1,1,Movies/Miniseries,Classic pop & rock,Sports & outdoors,Local news,About 1 hour,Less than 1 hour
500K to 1 million,Female,Married (Includes Cohabitation),2,30 to 39,High school graduate,$50K to $75K,Condominium/Townhouse,Standard,Yes,7,7,3,7,3,3,7,6,1,Comedy,Country,Music & entertainment,Entertainment,About 3 hours or more,About 3 hours or more
100K to 500K,Male,Married (Includes Cohabitation),3,40 to 49,Bachelor's degree,$76K to $100K,Multiple family,Economy,No,1,1,4,3,4,5,6,7,2,Science Fiction,Easy listening,Family & parenting,National news,About 1 hour,About 2 hours
100K to 500K,Female,Married (Includes Cohabitation),2,30 to 39,Bachelor's degree,$76K to $100K,Multiple family,Standard,Yes,1,6,7,2,7,2,5,7,1,Movies/Miniseries,Pop & Chart,Home & garden,Entertainment,About 2 hours,About 2 hours
500K to 1 million,Female,Married (Includes Cohabitation),3,40 to 49,Bachelor's degree,$101K to $150K,Single family,Standard,No,5,4,3,3,5,3,6,4,3,Comedy,Pop & Chart,Home & garden,Editorial,Less than 1 hour,Less than 1 hour
500K to 1 million,Male,Married (Includes Cohabitation),2,50 to 59,Graduate or professional degree,Over $150K,Multiple family,Luxury,Yes,5,2,4,4,7,4,6,7,4,Documentary,Country,Business & money,Local news,Less than 1 hour,Less than 1 hour
500K to 1 million,Male,Married (Includes Cohabitation),2,40 to 49,Some college or Associate's degree,$76K to $100K,Moble home,Luxury,No,3,6,4,6,4,6,7,6,6,Drama,Pop & Chart,"News, politics & current events",Sports,About 2 hours,About 2 hours
10K to 100K,Female,Married (Includes Cohabitation),3,30 to 39,Bachelor's degree,$101K to $150K,Single family,Luxury,No,5,7,3,2,3,4,4,7,2,Documentary,Jazz & blues,Family & parenting,Local news,About 2 hours,Less than 1 hour
1 million and more,Male,Married (Includes Cohabitation),3,50 to 59,Graduate or professional degree,Over $150K,Multiple family,Luxury,Yes,7,7,4,4,7,5,6,4,4,Sports,Classic pop & rock,Business & money,Business,Less than 1 hour,About 2 hours
500K to 1 million,Female,Married (Includes Cohabitation),2,30 to 39,Some college or Associate's degree,$76K to $100K,Multiple family,Economy,No,3,1,7,6,7,3,6,1,1,Movies/Miniseries,Jazz & blues,Family & parenting,Local news,About 3 hours or more,About 2 hours
100K to 500K,Female,Married (Includes Cohabitation),3,30 to 39,Bachelor's degree,$76K to $100K,Multiple family,Standard,Yes,5,7,7,2,7,2,2,7,4,Science Fiction,Country,Family & parenting,Business,About 1 hour,About 2 hours
1 million and more,Female,Unmarried,1,30 to 39,Some college or Associate's degree,$76K to $100K,Condominium/Townhouse,Economy,No,4,7,4,6,7,4,7,5,7,Drama,Pop & Chart,"News, politics & current events",Sports,About 2 hours,About 2 hours
500K to 1 million,Male,Married (Includes Cohabitation),2,40 to 49,Some college or Associate's degree,$76K to $100K,Moble home,Economy,No,6,1,2,6,2,4,7,2,1,Drama,Pop & Chart,Family & parenting,Sports,About 2 hours,About 2 hours
10K to 100K,Male,Married (Includes Cohabitation),3,40 to 49,Bachelor's degree,$76K to $100K,Multiple family,Standard,Yes,7,7,2,4,2,2,5,7,2,Reality,Pop & Chart,Family & parenting,Local news,About 1 hour,About 2 hours
500K to 1 million,Female,Married (Includes Cohabitation),5,40 to 49,Bachelor's degree,$101K to $150K,Single family,Economy,No,2,1,7,4,6,2,4,7,6,Documentary,Country,Family & parenting,Business,Less than 1 hour,About 1 hour
500K to 1 million,Male,Unmarried,1,40 to 49,Bachelor's degree,$101K to $150K,Single family,Luxury,Yes,7,7,2,4,2,4,6,4,6,Movies/Miniseries,Pop & Chart,"News, politics & current events",Local news,Less than 1 hour,Less than 1 hour
10K to 100K,Female,Married (Includes Cohabitation),3,30 to 39,Bachelor's degree,$76K to $100K,Moble home,Luxury,Yes,2,4,7,4,7,3,5,7,5,Sports,Pop & Chart,Family & parenting,Local news,About 1 hour,About 1 hour
1 million and more,Male,Married (Includes Cohabitation),3,50 to 59,Bachelor's degree,$101K to $150K,Single family,Economy,No,2,2,4,4,6,5,5,7,1,Documentary,Jazz & blues,"News, politics & current events",Business,About 1 hour,About 1 hour
10K to 100K,Female,Married (Includes Cohabitation),3,30 to 39,Bachelor's degree,$76K to $100K,Single family,Economy,No,1,1,7,4,4,2,4,7,4,Documentary,Pop & Chart,"News, politics & current events",Local news,About 1 hour,About 2 hours
100K to 500K,Male,Married (Includes Cohabitation),4,40 to 49,High school graduate,$50K to $75K,Multiple family,Luxury,Yes,4,1,4,6,4,7,7,5,6,Comedy,Pop & Chart,Family & parenting,Sports,About 2 hours,About 1 hour
500K to 1 million,Female,Married (Includes Cohabitation),2,40 to 49,Bachelor's degree,$101K to $150K,Single family,Standard,No,3,7,3,3,5,4,4,3,4,Drama,Jazz & blues,Family & parenting,Local news,About 1 hour,About 2 hours
100K to 500K,Male,Married (Includes Cohabitation),2,40 to 49,Bachelor's degree,$101K to $150K,Single family,Luxury,No,7,7,4,4,4,6,7,7,1,Reality,Pop & Chart,Music & entertainment,Business,About 1 hour,About 1 hour
500K to 1 million,Female,Married (Includes Cohabitation),3,30 to 39,Bachelor's degree,$101K to $150K,Multiple family,Luxury,No,7,7,3,3,3,5,3,6,4,Sports,Classic pop & rock,Family & parenting,Business,Less than 1 hour,About 1 hour
500K to 1 million,Male,Married (Includes Cohabitation),3,50 to 59,Bachelor's degree,$101K to $150K,Condominium/Townhouse,Standard,No,6,7,4,4,6,6,6,7,3,Drama,Classic pop & rock,"Cooking, food & wine",Business,About 1 hour,Less than 1 hour
500K to 1 million,Male,Married (Includes Cohabitation),3,40 to 49,Some college or Associate's degree,$50K to $75K,Single family,Luxury,Yes,6,7,2,6,2,3,7,3,3,Movies/Miniseries,Easy listening,Sports & outdoors,Sports,About 2 hours,About 2 hours
10K to 100K,Female,Married (Includes Cohabitation),3,30 to 39,Bachelor's degree,$76K to $100K,Condominium/Townhouse,Economy,No,2,1,3,3,3,5,3,7,3,Sports,Classic pop & rock,"News, politics & current events",Editorial,About 1 hour,About 2 hours
10K to 100K,Female,Married (Includes Cohabitation),3,30 to 39,Bachelor's degree,$101K to $150K,Multiple family,Standard,Yes,7,7,7,4,4,1,5,7,2,Reality,Pop & Chart,"News, politics & current events",Local news,About 1 hour,About 2 hours
500K to 1 million,Male,Married (Includes Cohabitation),3,50 to 59,Bachelor's degree,$101K to $150K,Single family,Luxury,No,3,1,2,4,6,3,4,3,4,Documentary,Jazz & blues,"News, politics & current events",Local news,Less than 1 hour,Less than 1 hour
1 million and more,Female,Married (Includes Cohabitation),2,30 to 39,Some college or Associate's degree,$50K to $75K,Multiple family,Luxury,No,7,7,4,6,7,6,7,5,1,Movies/Miniseries,Pop & Chart,Music & entertainment,Local news,About 3 hours or more,About 2 hours
1 million and more,Female,Married (Includes Cohabitation),4,40 to 49,Bachelor's degree,$101K to $150K,Condominium/Townhouse,Luxury,Yes,4,7,7,4,5,3,5,3,5,Documentary,Pop & Chart,Family & parenting,Business,Less than 1 hour,Less than 1 hour
100K to 500K,Female,Married (Includes Cohabitation),3,30 to 39,Bachelor's degree,$101K to $150K,Multiple family,Luxury,Yes,6,7,7,4,7,2,5,5,7,Science Fiction,Classic pop & rock,Family & parenting,Local news,About 1 hour,About 2 hours
100K to 500K,Male,Married (Includes Cohabitation),2,50 to 59,Graduate or professional degree,Over $150K,Single family,Luxury,Yes,5,5,4,4,7,5,5,6,7,Drama,Classic pop & rock,Music & entertainment,Business,Less than 1 hour,Less than 1 hour
100K to 500K,Female,Married (Includes Cohabitation),3,30 to 39,Bachelor's degree,$76K to $100K,Multiple family,Economy,Yes,7,7,3,3,3,4,4,6,2,Sports,Pop & Chart,Family & parenting,Local news,About 1 hour,About 1 hour
500K to 1 million,Female,Married (Includes Cohabitation),4,30 to 39,Some college or Associate's degree,$50K to $75K,Single family,Economy,Yes,3,7,7,6,7,2,6,4,2,Movies/Miniseries,Talk,Sports & outdoors,Do not read,About 3 hours or more,About 1 hour
Under 10K,Male,Unmarried,1,60 and older,Some college or Associate's degree,$101K to $150K,Single family,Standard,No,6,7,3,2,2,5,3,5,6,Documentary,Talk,"News, politics & current events",Local news,Less than 1 hour,Less than 1 hour
500K to 1 million,Female,Married (Includes Cohabitation),2,30 to 39,High school graduate,$76K to $100K,Moble home,Economy,No,4,7,3,6,3,4,7,5,7,Comedy,Pop & Chart,Music & entertainment,Sports,About 2 hours,About 2 hours
500K to 1 million,Female,Unmarried,1,30 to 39,High school graduate,$50K to $75K,Condominium/Townhouse,Standard,No,4,5,7,5,7,3,5,5,5,Comedy,Pop & Chart,Music & entertainment,Sports,About 3 hours or more,About 3 hours or more
Under 10K,Male,Married (Includes Cohabitation),2,60 and older,Some college or Associate's degree,$76K to $100K,Multiple family,None,No,3,7,2,2,4,4,4,4,6,Movies/Miniseries,Jazz & blues,"Trucks, Cars & Motorcycles",Local news,Less than 1 hour,Less than 1 hour
10K to 100K,Male,Married (Includes Cohabitation),2,60 and older,Some college or Associate's degree,$76K to $100K,Condominium/Townhouse,Luxury,No,5,5,7,2,4,2,3,3,1,Documentary,Talk,"News, politics & current events",Local news,Less than 1 hour,About 1 hour
1 million and more,Male,Unmarried,1,20 to 29,Less than high school,Under $50K,Multiple family,None,No,4,1,7,2,2,7,2,5,1,Reality,Country,"Trucks, Cars & Motorcycles",Sports,About 3 hours or more,About 2 hours
500K to 1 million,Male,Married (Includes Cohabitation),2,40 to 49,Some college or Associate's degree,$50K to $75K,Single family,Luxury,No,6,5,2,7,2,3,7,2,1,Drama,Pop & Chart,Sports & outdoors,Do not read,About 2 hours,About 1 hour
100K to 500K,Male,Married (Includes Cohabitation),2,40 to 49,Some college or Associate's degree,$50K to $75K,Multiple family,None,No,7,5,4,6,4,6,7,5,3,Drama,Pop & Chart,Sports & outdoors,Sports,About 2 hours,About 1 hour
100K to 500K,Male,Married (Includes Cohabitation),2,40 to 49,Bachelor's degree,$101K to $150K,Multiple family,Standard,Yes,7,7,4,3,4,4,6,7,4,Movies/Miniseries,Pop & Chart,Home & garden,Entertainment,About 2 hours,About 2 hours
10K to 100K,Female,Married (Includes Cohabitation),3,30 to 39,Bachelor's degree,$76K to $100K,Single family,Economy,Yes,7,7,7,4,4,1,6,7,3,Sports,Pop & Chart,Home & garden,Local news,About 2 hours,About 2 hours
100K to 500K,Female,Married (Includes Cohabitation),2,30 to 39,Some college or Associate's degree,$76K to $100K,Multiple family,Economy,No,2,4,3,6,3,5,6,5,6,Drama,Pop & Chart,Family & parenting,Sports,About 3 hours or more,About 1 hour
100K to 500K,Female,Married (Includes Cohabitation),3,40 to 49,Bachelor's degree,Over $150K,Single family,Luxury,Yes,7,7,3,3,5,3,6,6,3,Science Fiction,Classic pop & rock,"Cooking, food & wine",Business,Less than 1 hour,About 1 hour
100K to 500K,Male,Married (Includes Cohabitation),3,50 to 59,Some college or Associate's degree,$101K to $150K,Condominium/Townhouse,Luxury,No,7,7,2,4,5,5,5,2,2,Documentary,Jazz & blues,Family & parenting,Business,Less than 1 hour,Less than 1 hour
